artist_name,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
Sachet Tandon,1feANd8EfcDP5UqSvbheM3,"Bekhayali (From ""Kabir Singh"")",0.308,0.585,9,-5.18,0,0.0428,0.45,0.0,0.319,0.345,171.843,73,"['desi pop', 'modern bollywood']",68,"[""['desi"", ""pop',"", ""'modern"", ""bollywood']""]",low,Neutral
Neha Kakkar,0TkquWzzuxcrwbCWlTrKYF,Yaad Piya Ki Aane Lagi,0.858,0.833,5,-3.747,0,0.0471,0.375,0.0,0.112,0.693,107.977,76,"['desi pop', 'filmi', 'modern bollywood']",64,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Payal Dev,6E9UwSfT80age2xknoMS7Y,"Tum Hi Aana (From ""Marjaavaan"")",0.473,0.401,4,-7.018,0,0.0241,0.629,1.17e-05,0.154,0.345,90.076,67,"['desi pop', 'modern bollywood']",70,"[""['desi"", ""pop',"", ""'modern"", ""bollywood']""]",low,Neutral
Guru Randhawa,5ZQnQnbUVtBO0pl3ShqVHG,"Lagdi Lahore Di (From ""Street Dancer 3D"")",0.786,0.797,6,-4.063,1,0.0414,0.233,0.0,0.0861,0.454,95.014,71,"['desi hip hop', 'desi pop', 'modern bollywood']",63,"[""['desi"", 'hip', ""hop',"", ""'desi"", ""pop',"", ""'modern"", ""bollywood']""]",low,Neutral
Neha Kakkar,0Ms1V2flsPzr2bVqImelCB,Dilbar,0.725,0.912,9,-3.665,0,0.0851,0.155,7.68e-05,0.107,0.674,104.054,76,"['desi pop', 'filmi', 'modern bollywood']",55,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Tony Kakkar,352wEkChkiClswqwDoM0nj,"Coca Cola (From ""Luka Chuppi"")",0.722,0.867,0,-3.652,0,0.0904,0.121,0.0052,0.123,0.893,102.009,62,"['desi pop', 'modern bollywood']",63,"[""['desi"", ""pop',"", ""'modern"", ""bollywood']""]",low,Neutral
Garry Sandhu,60XrRbNjDMAGUZ2xLkU9W3,"Hauli Hauli (From ""De De Pyaar De"")",0.705,0.982,1,-3.376,1,0.0788,0.0212,3.18e-05,0.337,0.571,94.99,65,"['desi pop', 'punjabi pop']",58,"[""['desi"", ""pop',"", ""'punjabi"", ""pop']""]",low,Neutral
Asees Kaur,5bAed2aRbQbjDZF9qkNSA2,"Hui Malang (From ""Malang - Unleash The Madness"")",0.633,0.904,7,-5.09,0,0.0564,0.0337,4.31e-05,0.122,0.259,124.008,73,"['desi pop', 'filmi', 'modern bollywood']",49,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Vishal Dadlani,0z9lOAVgQT5bysEKZ6Wwbk,"Dus Bahane 2.0 (From ""Baaghi 3"") (feat. K.K., Shaan, Tulsi Kumar)",0.807,0.914,7,-5.092,1,0.069,0.0411,0.00105,0.292,0.463,114.039,76,"['desi pop', 'filmi', 'modern bollywood']",58,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Vayu,7gAyu0od48mkaCw1laPKVC,Naagin,0.807,0.5,9,-10.361,1,0.0581,0.0335,8.73e-06,0.0967,0.243,97.09,54,[],62,['[]'],low,Neutral
